"","tp","fp","tn","fn","method","n","k"
"105",4,0,1573,23,"ALDEx2 (gamma = 5)",25,2
"106",23,194,1379,4,"ALDEx2 (gamma = 0)",30,2
"107",25,1523,50,2,"DESeq2",30,2
"108",24,1284,289,3,"limma",30,2
"109",27,958,615,0,"baySeq",30,2
"110",27,1482,91,0,"edgeR",30,2
"111",21,91,1482,6,"ALDEx2 (gamma = 0.5)",30,2
"112",4,0,1573,23,"ALDEx2 (gamma = 5)",30,2
"113",23,321,1252,4,"ALDEx2 (gamma = 0)",40,2
"114",25,1529,44,2,"DESeq2",40,2
"115",25,1358,215,2,"limma",40,2
"116",27,1154,419,0,"baySeq",40,2
"117",27,1517,56,0,"edgeR",40,2
"118",22,105,1468,5,"ALDEx2 (gamma = 0.5)",40,2
"119",5,0,1573,22,"ALDEx2 (gamma = 5)",40,2
"120",23,407,1166,4,"ALDEx2 (gamma = 0)",50,2
"121",24,1538,35,3,"DESeq2",50,2
"122",25,1358,215,2,"limma",50,2
"123",27,1188,385,0,"baySeq",50,2
"124",27,1509,64,0,"edgeR",50,2
"125",21,113,1460,6,"ALDEx2 (gamma = 0.5)",50,2
"126",5,0,1573,22,"ALDEx2 (gamma = 5)",50,2
"127",9,23,1550,18,"ALDEx2 (gamma = 0)",5,3
"128",23,1346,207,4,"DESeq2",5,3
"129",18,477,1096,9,"limma",5,3
"130",20,177,1396,7,"baySeq",5,3
"131",21,1212,361,6,"edgeR",5,3
"132",6,19,1554,21,"ALDEx2 (gamma = 0.5)",5,3
"133",1,0,1573,26,"ALDEx2 (gamma = 5)",5,3
"134",18,51,1522,9,"ALDEx2 (gamma = 0)",7,3
"135",25,1482,91,2,"DESeq2",7,3
"136",20,858,715,7,"limma",7,3
"137",22,307,1266,5,"baySeq",7,3
"138",23,1357,216,4,"edgeR",7,3
"139",17,38,1535,10,"ALDEx2 (gamma = 0.5)",7,3
"140",1,0,1573,26,"ALDEx2 (gamma = 5)",7,3
"141",19,74,1499,8,"ALDEx2 (gamma = 0)",10,3
"142",23,1472,101,4,"DESeq2",10,3
"143",20,940,633,7,"limma",10,3
"144",24,421,1152,3,"baySeq",10,3
"145",24,1373,200,3,"edgeR",10,3
"146",18,53,1520,9,"ALDEx2 (gamma = 0.5)",10,3
"147",2,0,1573,25,"ALDEx2 (gamma = 5)",10,3
"148",21,89,1484,6,"ALDEx2 (gamma = 0)",15,3
"149",25,1501,72,2,"DESeq2",15,3
"150",24,1121,452,3,"limma",15,3
"151",24,548,1025,3,"baySeq",15,3
"152",26,1431,142,1,"edgeR",15,3
